chart_id,logical_series,series_id,label,market,dimension_1,dimension_2,frequency,unit,scale,sign,notes
d01_resumen_stock_monto_vigente,stock_fx,,Monto vigente FX,FX,,,MONTHLY,MM USD,1,1,Buscar: derivados bancos monto vigente resumen FX
d01_resumen_flujo_monto_transado,flujo_fx,,Monto transado FX,FX,,,MONTHLY,MM USD,1,1,Buscar: derivados bancos monto transado resumen FX
d01_resumen_stock_monto_vigente,stock_tasas,,Monto vigente Tasas,Tasas,,,MONTHLY,MM USD,1,1,Buscar: derivados bancos monto vigente resumen Tasas
d01_resumen_flujo_monto_transado,flujo_tasas,,Monto transado Tasas,Tasas,,,MONTHLY,MM USD,1,1,Buscar: derivados bancos monto transado resumen Tasas
d01_resumen_stock_monto_vigente,stock_uf-clp,,Monto vigente UF-CLP,UF-CLP,,,MONTHLY,MM USD,1,1,Buscar: derivados bancos monto vigente resumen UF-CLP
d01_resumen_flujo_monto_transado,flujo_uf-clp,,Monto transado UF-CLP,UF-CLP,,,MONTHLY,MM USD,1,1,Buscar: derivados bancos monto transado resumen UF-CLP
d02_fx_usdclp_vigente_contraparte,fx_usdclp_vigente_Interbancario,,USD/CLP vigente Interbancario,FX USD/CLP,Interbancario,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes por contraparte USD CLP
d02_fx_usdclp_neto_contraparte,fx_usdclp_neto_Interbancario,,USD/CLP neto Interbancario,FX USD/CLP,Interbancario,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes netos por contraparte USD CLP
d02_fx_usdclp_vigente_contraparte,fx_usdclp_vigente_No residentes,,USD/CLP vigente No residentes,FX USD/CLP,No residentes,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes por contraparte USD CLP
d02_fx_usdclp_neto_contraparte,fx_usdclp_neto_No residentes,,USD/CLP neto No residentes,FX USD/CLP,No residentes,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes netos por contraparte USD CLP
d02_fx_usdclp_vigente_contraparte,fx_usdclp_vigente_Residentes no bancos,,USD/CLP vigente Residentes no bancos,FX USD/CLP,Residentes no bancos,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes por contraparte USD CLP
d02_fx_usdclp_neto_contraparte,fx_usdclp_neto_Residentes no bancos,,USD/CLP neto Residentes no bancos,FX USD/CLP,Residentes no bancos,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes netos por contraparte USD CLP
d02_fx_usdclp_vigente_contraparte,fx_usdclp_vigente_Fondos de pensiones,,USD/CLP vigente Fondos de pensiones,FX USD/CLP,Fondos de pensiones,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes por contraparte USD CLP
d02_fx_usdclp_neto_contraparte,fx_usdclp_neto_Fondos de pensiones,,USD/CLP neto Fondos de pensiones,FX USD/CLP,Fondos de pensiones,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes netos por contraparte USD CLP
d02_fx_usdclp_vigente_contraparte,fx_usdclp_vigente_Sector real,,USD/CLP vigente Sector real,FX USD/CLP,Sector real,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes por contraparte USD CLP
d02_fx_usdclp_neto_contraparte,fx_usdclp_neto_Sector real,,USD/CLP neto Sector real,FX USD/CLP,Sector real,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes netos por contraparte USD CLP
d02_fx_usdclp_vigente_contraparte,fx_usdclp_vigente_AGF,,USD/CLP vigente AGF,FX USD/CLP,AGF,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes por contraparte USD CLP
d02_fx_usdclp_neto_contraparte,fx_usdclp_neto_AGF,,USD/CLP neto AGF,FX USD/CLP,AGF,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes netos por contraparte USD CLP
d02_fx_usdclp_vigente_contraparte,fx_usdclp_vigente_Seguros,,USD/CLP vigente Seguros,FX USD/CLP,Seguros,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes por contraparte USD CLP
d02_fx_usdclp_neto_contraparte,fx_usdclp_neto_Seguros,,USD/CLP neto Seguros,FX USD/CLP,Seguros,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes netos por contraparte USD CLP
d02_fx_usdclp_vigente_contraparte,fx_usdclp_vigente_Corredoras,,USD/CLP vigente Corredoras,FX USD/CLP,Corredoras,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes por contraparte USD CLP
d02_fx_usdclp_neto_contraparte,fx_usdclp_neto_Corredoras,,USD/CLP neto Corredoras,FX USD/CLP,Corredoras,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes netos por contraparte USD CLP
d02_fx_usdclp_vigente_contraparte,fx_usdclp_vigente_Otros,,USD/CLP vigente Otros,FX USD/CLP,Otros,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes por contraparte USD CLP
d02_fx_usdclp_neto_contraparte,fx_usdclp_neto_Otros,,USD/CLP neto Otros,FX USD/CLP,Otros,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes netos por contraparte USD CLP
d02_fx_usdclp_vigente_instrumento,fx_usdclp_inst_Forward/FX Swap,,USD/CLP vigente Forward/FX Swap,FX USD/CLP,Forward/FX Swap,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes por instrumento USD CLP
d02_fx_usdclp_vigente_instrumento,fx_usdclp_inst_Cross Currency Swap,,USD/CLP vigente Cross Currency Swap,FX USD/CLP,Cross Currency Swap,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes por instrumento USD CLP
d02_fx_usdclp_vigente_instrumento,fx_usdclp_inst_Opciones,,USD/CLP vigente Opciones,FX USD/CLP,Opciones,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes por instrumento USD CLP
d02_fx_usdclp_vigente_instrumento,fx_usdclp_inst_Otros,,USD/CLP vigente Otros,FX USD/CLP,Otros,,MONTHLY,MM USD,1,1,Buscar: derivados monedas bancos mensual montos vigentes por instrumento USD CLP
d02_fx_ndf_no_residentes_plazo,ndf_nr_<= 30d,,NDF no residentes <= 30d,FX USD/CLP,<= 30d,,MONTHLY,MM USD,1,1,Buscar: NDF no residentes plazo contractual USD CLP bancos mensual
d02_fx_ndf_no_residentes_plazo,ndf_nr_31-90d,,NDF no residentes 31-90d,FX USD/CLP,31-90d,,MONTHLY,MM USD,1,1,Buscar: NDF no residentes plazo contractual USD CLP bancos mensual
d02_fx_ndf_no_residentes_plazo,ndf_nr_91-180d,,NDF no residentes 91-180d,FX USD/CLP,91-180d,,MONTHLY,MM USD,1,1,Buscar: NDF no residentes plazo contractual USD CLP bancos mensual
d02_fx_ndf_no_residentes_plazo,ndf_nr_181-360d,,NDF no residentes 181-360d,FX USD/CLP,181-360d,,MONTHLY,MM USD,1,1,Buscar: NDF no residentes plazo contractual USD CLP bancos mensual
d02_fx_ndf_no_residentes_plazo,ndf_nr_> 1y,,NDF no residentes > 1y,FX USD/CLP,> 1y,,MONTHLY,MM USD,1,1,Buscar: NDF no residentes plazo contractual USD CLP bancos mensual
d03_spot_vs_derivados_usdclp,spot_usdclp_mensual,,Spot USD/CLP mensual,FX USD/CLP,Spot,,MONTHLY,MM USD,1,1,Buscar: spot USD CLP mensual montos transados bancos
d03_spot_vs_derivados_usdclp,deriv_usdclp_mensual,,Derivados USD/CLP mensual,FX USD/CLP,Derivados,,MONTHLY,MM USD,1,1,Buscar: derivados USD CLP mensual montos transados bancos
d03_fx_compras_ventas_neto_sector,fx_Compras_Interbancario,,Compras Interbancario,FX USD/CLP,Compras,Interbancario,MONTHLY,MM USD,1,1,Buscar: total derivados spot posiciones netas montos transados bancos sectores USD CLP
d03_fx_compras_ventas_neto_sector,fx_Ventas_Interbancario,,Ventas Interbancario,FX USD/CLP,Ventas,Interbancario,MONTHLY,MM USD,1,1,Buscar: total derivados spot posiciones netas montos transados bancos sectores USD CLP
d03_fx_compras_ventas_neto_sector,fx_Neto_Interbancario,,Neto Interbancario,FX USD/CLP,Neto,Interbancario,MONTHLY,MM USD,1,1,Buscar: total derivados spot posiciones netas montos transados bancos sectores USD CLP
d03_fx_compras_ventas_neto_sector,fx_Compras_No residentes,,Compras No residentes,FX USD/CLP,Compras,No residentes,MONTHLY,MM USD,1,1,Buscar: total derivados spot posiciones netas montos transados bancos sectores USD CLP
d03_fx_compras_ventas_neto_sector,fx_Ventas_No residentes,,Ventas No residentes,FX USD/CLP,Ventas,No residentes,MONTHLY,MM USD,1,1,Buscar: total derivados spot posiciones netas montos transados bancos sectores USD CLP
d03_fx_compras_ventas_neto_sector,fx_Neto_No residentes,,Neto No residentes,FX USD/CLP,Neto,No residentes,MONTHLY,MM USD,1,1,Buscar: total derivados spot posiciones netas montos transados bancos sectores USD CLP
d03_fx_compras_ventas_neto_sector,fx_Compras_Residentes no bancos,,Compras Residentes no bancos,FX USD/CLP,Compras,Residentes no bancos,MONTHLY,MM USD,1,1,Buscar: total derivados spot posiciones netas montos transados bancos sectores USD CLP
