chart_id,logical_series,label,frequency,bde_path,mandatory_terms,optional_terms,exclude_terms,expected_dimension_1,expected_dimension_2,unit,selection_status,selected_series_id,review_comment
d01_resumen_stock_monto_vigente,stock_fx,Monto vigente FX,MONTHLY,Derivados > Resumen > Bancos > Montos vigentes,derivados|bancos|monto vigente,monedas|tipo de cambio|fx|Monto vigente FX,fondos de pensiones|historica|histórica,,,MM USD,,,
d01_resumen_flujo_monto_transado,flujo_fx,Monto transado FX,MONTHLY,Derivados > Resumen > Bancos > Montos transados,derivados|bancos|monto transado,monedas|tipo de cambio|fx|Monto transado FX,fondos de pensiones|historica|histórica,,,MM USD,,,
d01_resumen_stock_monto_vigente,stock_tasas,Monto vigente Tasas,MONTHLY,Derivados > Resumen > Bancos > Montos vigentes,derivados|bancos|monto vigente,tasa de interes|tasas de interes|Monto vigente Tasas,fondos de pensiones|historica|histórica,,,MM USD,,,
d01_resumen_flujo_monto_transado,flujo_tasas,Monto transado Tasas,MONTHLY,Derivados > Resumen > Bancos > Montos transados,derivados|bancos|monto transado,tasa de interes|tasas de interes|Monto transado Tasas,fondos de pensiones|historica|histórica,,,MM USD,,,
d01_resumen_stock_monto_vigente,stock_uf-clp,Monto vigente UF-CLP,MONTHLY,Derivados > Resumen > Bancos > Montos vigentes,derivados|bancos|monto vigente,uf-clp|unidad de fomento|peso chileno|Monto vigente UF-CLP,fondos de pensiones|historica|histórica,,,MM USD,,,
d01_resumen_flujo_monto_transado,flujo_uf-clp,Monto transado UF-CLP,MONTHLY,Derivados > Resumen > Bancos > Montos transados,derivados|bancos|monto transado,uf-clp|unidad de fomento|peso chileno|Monto transado UF-CLP,fondos de pensiones|historica|histórica,,,MM USD,,,
d02_fx_usdclp_vigente_contraparte,fx_usdclp_vigente_Interbancario,USD/CLP vigente Interbancario,MONTHLY,Derivados > Monedas > Bancos > Bancos mensual > Montos vigentes > Montos vigentes por contraparte USD-CLP,derivados|monedas|bancos|monto vigente|contraparte|usd-clp,Interbancario|USD/CLP vigente Interbancario,me-ml|diario|fondos de pensiones entidades no bancarias,Interbancario,,MM USD,,,
d02_fx_usdclp_neto_contraparte,fx_usdclp_neto_Interbancario,USD/CLP neto Interbancario,MONTHLY,Derivados > Monedas > Bancos > Bancos diario/mensual > Montos vigentes > Montos vigentes netos por contraparte USD-CLP,derivados|monedas|bancos|monto vigente|neto|contraparte|usd-clp,Interbancario|USD/CLP neto Interbancario,me-ml|monto transado|fondos de pensiones entidades no bancarias,Interbancario,,MM USD,,,
d02_fx_usdclp_vigente_contraparte,fx_usdclp_vigente_No residentes,USD/CLP vigente No residentes,MONTHLY,Derivados > Monedas > Bancos > Bancos mensual > Montos vigentes > Montos vigentes por contraparte USD-CLP,derivados|monedas|bancos|monto vigente|contraparte|usd-clp,No residentes|USD/CLP vigente No residentes,me-ml|diario|fondos de pensiones entidades no bancarias,No residentes,,MM USD,,,
d02_fx_usdclp_neto_contraparte,fx_usdclp_neto_No residentes,USD/CLP neto No residentes,MONTHLY,Derivados > Monedas > Bancos > Bancos diario/mensual > Montos vigentes > Montos vigentes netos por contraparte USD-CLP,derivados|monedas|bancos|monto vigente|neto|contraparte|usd-clp,No residentes|USD/CLP neto No residentes,me-ml|monto transado|fondos de pensiones entidades no bancarias,No residentes,,MM USD,,,
